playerID,bbrefID,fangraphsID
andrecl01,andrecl01,1000247
andreed01,andreed01,1000248
andreel01,andreel01,1000249
andreer01,andreer01,1000250
andrefr01,andrefr01,1000251
andrehu01,andrehu01,1000252
andreiv01,andreiv01,1000253
andreji01,andreji01,1000254
andrejo01,andrejo01,1000255
andrejo02,andrejo02,1000256
andrejo03,andrejo03,13012
andreki01,andreki01,1000257
andremi01,andremi01,1000258
andrena01,andrena01,1000259
andrero01,andrero01,1000260
andresh01,andresh01,1588
andrest01,andrest01,1000261
andrewa01,andrewa01,1000262
andrima01,andrima01,12022
andrubi01,andrubi01,1000263
andruel01,andruel01,8709
andrufr01,andrufr01,1000264
andujjo01,andujjo01,1000266
andujlu01,andujlu01,1000267
angelno01,angelno01,1000268
anglema01,anglema01,8136
angleto01,angleto01,1000269
ankenpa01,ankenpa01,1000270
ankieri01,ankieri01,1142
annade01,annade01,8353
ansonca01,ansonca01,1000272
anthoer01,anthoer01,1000273
antoldu01,antoldu01,7119
antoljo01,antoljo01,1000274
antonbi01,antonbi01,1000275
antonjo01,antonjo01,1000276
antonjo02,antonjo02,1000277
antonma01,antonma01,9343
aparilu01,aparilu01,1000278
apodabo01,apodabo01,1000279
apontlu01,apontlu01,1000280
appieke01,appieke01,3
appleed01,appleed01,1000281
applefr01,applefr01,1000282
applepe01,applepe01,1000283
applilu01,applilu01,1000284
aquinar01,aquinar01,15482
aquingr01,aquingr01,1899
aquinja01,aquinja01,13150
aquinlu01,aquinlu01,1000285
aragoan01,aragoan01,1000286
aragoja01,aragoja01,1000287
araujel01,araujel01,12854
araujpe01,araujpe01,17697
archech01,archech01,6345
archefr01,archefr01,1000289
archeji01,archeji01,1000290
archeji02,archeji02,1000291
archige01,archige01,1000292
arciafr01,arciafr01,10286
arciajo01,arciajo01,1000293
arciaor01,arciaor01,13185
arciaos01,arciaos01,10306
ardelda01,ardelda01,1000294
ardizru01,ardizru01,1000295
ardnejo01,ardnejo01,1000296
ardoida01,ardoida01,585
arellfr01,arellfr01,1000297
arenano01,arenano01,9777
arftha01,arftha01,1000298
ariasal01,ariasal01,123
ariasal02,ariasal02,3087
ariasge01,ariasge01,1000299
ariasjo01,ariasjo01,3817
ariasru01,ariasru01,1000300
arletbu01,arletbu01,1000301
arlicdo01,arlicdo01,1000302
arlinst01,arlinst01,1000303
armasma01,armasma01,1000304
armasto01,armasto01,1000305
armasto02,armasto02,761
armbrch01,armbrch01,1000306
armbred01,armbred01,1000307
armbrha01,armbrha01,1000308
armbror01,armbror01,1000309
armenro01,armenro01,17679
armstge01,armstge01,1000311
armstho01,armstho01,1000312
armstja01,armstja01,1000313
armstmi01,armstmi01,1000314
armstsh01,armstsh01,12857
arndtha01,arndtha01,1000315
arndtla01,arndtla01,1000316
arnolbi01,arnolbi01,1000317
arnolch01,arnolch01,1000318
arnolja01,arnolja01,1000319
arnolsc01,arnolsc01,1000320
arnolto01,arnolto01,1000321
arnovmo01,arnovmo01,1000322
arnsbbr01,arnsbbr01,1000323
arntzor01,arntzor01,1000324
arojo01,arojo01,14699
arozara01,arozara01,19290
arraelu01,arraelu01,18568
arredjo01,arredjo01,4722
arrieja01,arrieja01,4153
arrigge01,arrigge01,1000326
arroybr01,arroybr01,978
arroych01,arroych01,16434
arroyfe01,arroyfe01,1000327
arroylu01,arroylu01,1000328
arroyru01,arroyru01,1000329
arrueer01,arrueba01,15809
arteahu01,arteahu01,13595
arundtu01,arundtu01,1000331
asadora01,asadora01,1000332
asbelji01,asbelji01,1000333
asbjoca01,asbjoca01,1000334
ascanjo01,ascanjo01,3951
ascheco01,ascheco01,11997
asencmi01,asencmi01,586
ashburi01,ashburi01,1000335
ashbyal01,ashbyal01,1000336
ashbyan01,ashbyan01,637
asheral01,asheral01,13560
ashfotu01,ashfotu01,1000337
ashke01,ashke01,1000338
ashlebi01,ashlebi01,1000339
ashlene01,ashlene01,3274
asmusto01,asmusto01,1000340
asprobo01,asprobo01,1000341
asproke01,asproke01,1000342
asselbr01,asselbr01,1000343
assenpa01,assenpa01,1000344
astacez01,astacez01,2169
astinba01,astinba01,14812
astrojo01,astrojo01,1000345
astudwi01,astudwi01,15608
atchisc01,atchisc01,2642
atchlju01,atchlju01,1000346
atherke01,atherke01,1000348
atilalu01,atilalu01,3802
atkinal01,atkinal01,1000349
atkinbi01,atkinbi01,1000350
atkined01,atkined01,1000351
atkinga01,atkinga01,1790
atkinja01,atkinja01,1000352
atkinmi01,atkinmi01,8369
atkinto01,atkinto01,1000354
attredi01,attredi01,1000355
atwelto01,atwelto01,1000356
atwoobi01,atwoobi01,1000357
aubreha01,aubreha01,1000359
aubremi01,aubremi01,6049
aucoide01,aucoide01,1000360
auderi01,auderi01,1000361
auerbri01,auerbri01,1000362
augenbr01,augenbr01,936
augusda01,augusda01,1000363
augusdo01,augusdo01,1000364
augusje01,augusje01,1000365
aukerel01,aukerel01,1000366
auldsle01,auldsle01,1000367
aultdo01,aultdo01,1000368
aumonph01,aumonph01,5362
aurilri01,aurilri01,1106
ausanjo01,ausanjo01,1000369
ausmubr01,ausmubr01,546
austde01,austde01,1000370
austihe01,austihe01,1000371
austije01,austije01,587
austiji01,austiji01,1000372
austiji02,austiji02,1000373
austiri01,austiri01,1000374
austity01,austity01,11850
autryal01,autryal01,1000375
autrych01,autrych01,1000376
autrych02,autrych02,1000377
aveliab01,aveliab01,15496
avenbr01,avenbr01,366
averiea01,averiea01,1000378
averiea02,averiea02,1000379
averyxa01,averyxa01,8471
avilaal01,avilaal01,7476
avilabo01,avilabo01,1000380
avilape01,avilape01,18864
avilemi01,avilemi01,5986
avilera01,avilera01,1000381
avreaja01,avreaja01,1000382
axelrdy01,axelrdy01,9303
axforjo01,axforjo01,9059
ayalabe01,ayalabe01,1000383
ayalabo01,ayalabo01,1000384
ayalalu01,ayalalu01,1650
aybarer01,aybarer01,4082
aybarma01,aybarma01,1107
aybarwi01,aybarwi01,2192
aydelja01,aydelja01,1000385
ayersbi01,ayersbi01,1000386
ayersdo01,ayersdo01,1000387
aylwadi01,aylwadi01,1000388
ayraubo01,ayraubo01,1000389
ayraujo01,ayraujo01,1000390
azcuejo01,azcuejo01,1000391
azocaos01,azocaos01,1000392
babbch01,babbch01,1000393
babcobo01,babcobo01,1000394
babelo01,babelo01,1000395
babicjo01,babicjo01,1000396
babinch01,babinch01,1000397
babitsh01,babitsh01,1000398
backebr01,backebr01,1529
backmle01,backmle01,1000399
backmwa01,backmwa01,1000400
baconed01,baconed01,1000401
bacsimi01,bacsimi01,1000402
bacsimi02,bacsimi02,863
baczefr01,baczefr01,1000403
badenbu01,badenbu01,9736
baderar01,baderar01,1000404
baderha01,baderha01,18030
baderlo01,baderlo01,1000405
badgrre01,badgrre01,1000406
baeched01,baeched01,1000407
baezbe01,baezbe01,1000408
baezda01,baezda01,367
baezjo01,baezjo01,1000409
baezke01,baezke01,1000410
baezmi01,baezmi01,20100
baezsa01,baezsa01,17754
bagbyji01,bagbyji01,1000411
bagbyji02,bagbyji02,1000412
bagwebi01,bagwebi01,1000413
bagweje01,bagweje01,547
bahnsst01,bahnsst01,1000414
bahred01,bahred01,1000415
bahrefr01,bahrefr01,1000416
bailean01,bailean01,1368
bailebi01,bailebi01,1000418
bailebi02,bailebi02,1000419
bailebo01,bailebo01,1000420
baileco01,baileco01,588
baileed01,baileed01,1000421
bailefr01,bailefr01,1000422
bailege01,bailege01,1000423
baileha01,baileha01,1000424
baileho01,baileho01,1000425
baileho02,baileho02,8362
baileji01,baileji01,1000426
bailema01,bailema01,1000428
bailero01,bailero01,1000429
bailesc01,bailesc01,1000430
bailest01,bailest01,1000431
bailesw01,bailesw01,1000432
bailobo01,bailobo01,1000433
baineha01,baineha01,1000434
bainlo01,bainlo01,1000435
bairdal01,bairdal01,1000436
bairdbo01,bairdbo01,1000437
bairddo01,bairddo01,1000438
bairdo01,bairdo01,1000439
baislje01,baislje01,9684
bajenje01,bajenje01,2920
bakelje01,bakelje01,1000440
bakenda01,bakenda01,1000441
bakeral01,bakeral01,1000442
bakerbi01,bakerbi01,1000443
bakerbo01,bakerbo01,1000444
bakerch01,bakerch01,1000445
bakerch02,bakerch02,1000446
bakerde01,bakerde01,1000448
bakerdo01,bakerdo01,1000449
bakerer01,bakerer01,1000451
bakerfl01,bakerfl01,1000452
bakerfr01,bakerfr01,1000453
bakerfr02,bakerfr02,1000454
bakerfr03,bakerfr03,1000455
